stock_number,gemstone,origin,price,carat,shape,cut,color,clarity,measurements,table,depth,symmetry,polish,girdle,culet,fluorescence,diamond_id
5984201A,"Natural, untreated diamond",Botswana Sort,"$2,600",0.90,Round,Very Good,G,SI2,6.11mm x 6.05mm x 3.83mm,62.0%,62.9%,Very Good,Excellent,Medium - Thick,None,None,15124254
6597784A,"Natural, untreated diamond",Botswana Sort,"$2,600",0.90,Round,Very Good,I,SI1,6.02mm x 5.98mm x 3.88mm,58.0%,64.6%,Excellent,Excellent,Thick,None,Strong,17882308
6573699Y,"Natural, untreated diamond",Botswana Sort,"$2,600",0.90,Round,Very Good,I,SI2,6.12mm x 6.09mm x 3.87mm,55.0%,63.3%,Very Good,Excellent,Very Thin - Thick,None,None,17785690
6294261A,"Natural, untreated diamond",Botswana Sort,"$2,600",0.90,Round,Very Good,I,SI2,6.08mm x 6.06mm x 3.87mm,55.0%,63.8%,Very Good,Excellent,Medium,None,Faint,17829511
6554582A,"Natural, untreated diamond",Canada,"$2,600",0.90,Round,Very Good,J,SI1,6.09mm x 6.04mm x 3.83mm,59.0%,63.1%,Very Good,Excellent,Slightly Thick - Thick,None,Faint,17707197
6518179Y,"Natural, untreated diamond",Botswana Sort,"$2,600",0.90,Round,Very Good,F,SI2,6.07mm x 5.98mm x 3.90mm,57.0%,64.7%,Very Good,Excellent,Slightly Thick - Thick,Pointed,Medium,17881124
5994040A,"Natural, untreated diamond",Botswana Sort,"$2,610",0.90,Round,Super Ideal,G,SI2,6.16mm x 6.13mm x 3.81mm,60.0%,62.0%,Excellent,Excellent,Thin - Slightly Thick,None,None,17747695
6278996A,"Natural, untreated diamond",Botswana Sort,"$2,590",0.90,Round,Ideal,G,SI2,6.25mm x 6.21mm x 3.76mm,60.0%,60.4%,Very Good,Excellent,Medium - Slightly Thick,None,Faint,17317379
5966543A,"Natural, untreated diamond",Botswana Sort,"$2,610",0.90,Round,Very Good,J,VS2,6.03mm x 5.99mm x 3.86mm,59.0%,64.2%,Very Good,Excellent,Slightly Thick - Thick,None,Faint,17678268
6346748A,"Natural, untreated diamond",Botswana Sort,"$2,610",0.90,Round,Very Good,J,SI1,6.18mm x 6.11mm x 3.79mm,59.0%,61.6%,Very Good,Excellent,Medium - Thick,None,None,17867152
6057070A,"Natural, untreated diamond",Botswana Sort,"$2,610",0.90,Round,Very Good,I,SI1,6.09mm x 6.01mm x 3.89mm,54.0%,64.4%,Very Good,Very Good,Medium - Thick,None,Strong,17504692
6122480A,"Natural, untreated diamond",Botswana Sort,"$2,610",0.90,Round,Very Good,I,SI1,6.02mm x 5.94mm x 3.86mm,56.0%,64.6%,Very Good,Excellent,Sl.Tk - Thick,None,None,17504584
6293216A,"Natural, untreated diamond",Botswana Sort,"$2,590",0.90,Round,Very Good,I,SI2,6.03mm x 5.97mm x 3.89mm,56.0%,64.8%,Very Good,Excellent,Medium - Thick,None,None,17317637
6569026A,"Natural, untreated diamond",Botswana Sort,"$2,610",0.90,Round,Very Good,J,VS2,6.05mm x 5.97mm x 3.84mm,58.0%,63.9%,Very Good,Excellent,Medium - Thick,None,None,17760496
5511700A,"Natural, untreated diamond",Botswana Sort,"$2,610",0.90,Round,Super Ideal,I,SI2,6.18mm x 6.15mm x 3.83mm,58.0%,62.2%,Excellent,Excellent,Medium,None,None,17833509
5954143A,"Natural, untreated diamond",Botswana Sort,"$2,610",0.90,Round,Very Good,H,SI2,6.00mm x 5.95mm x 3.88mm,56.0%,64.9%,Very Good,Excellent,Slightly Thick - Thick,None,Faint,14917660
